city_name,city_ename,city_id,city_code,gb
北京,beijing,1,beijing1,156110000
上海,shanghai,2,shanghai2,156310000
天津,tianjin,154,tianjin154,156120000
重庆,chongqing,158,chongqing158,156500000
澳门,macau,39,macau39,156820000
香港,hongkong,38,hongkong38,156810000
海南,hainan,100001,hainan100001,156460000
云南,yunnan,100007,yunnan100007,156530000
新疆,xinjiang,100008,xinjiang100008,156650000
西藏,xizang,100003,xizang100003,156540000
四川,sichuan,100009,sichuan100009,156510000
台湾,taiwan,100076,taiwan100076,156710000
山东,shandong,100039,shandong100039,156370000
河南,henan,100058,henan100058,156410000
湖南,hunan,100053,hunan100053,156430000
贵州,guizhou,100064,guizhou100064,156520000
内蒙古,neimenggu,100062,neimenggu100062,156150000
浙江,zhejiang,100065,zhejiang100065,156330000
江苏,jiangsu,100066,jiangsu100066,156320000
安徽,anhui,100068,anhui100068,156340000
山西,shanxi,100056,shanxi100056,156140000
黑龙江,heilongjiang,100055,heilongjiang100055,156230000
江西,jiangxi,100054,jiangxi100054,156360000
广东,guangdong,100051,guangdong100051,156440000
河北,hebei,100059,hebei100059,156130000
福建,fujian,100038,fujian100038,156350000
广西,guangxi,100052,guangxi100052,156450000
甘肃,gansu,100060,gansu100060,156620000
湖北,hubei,100067,hubei100067,156420000
宁夏,ningxia,100063,ningxia100063,156640000
吉林,jilin,100031,jilin100031,156220000
青海,qinghai,100032,qinghai100032,156630000
陕西,shanxi,100057,shanxi100057,156610000
辽宁,liaoning,100061,liaoning100061,156210000
